登录时间,被试编号,性别,惯用手,标识
07-16 21:23,3.0,男,右手,SZ21-03
07-16 21:24,2.0,女,右手,SZ21-02
07-16 21:24,1.0,男,右手,SZ21-01
07-16 21:24,3.0,男,右手,SZ21-03
07-16 21:25,2.0,女,右手,SZ21-02
07-16 21:25,1.0,男,右手,SZ21-01
07-16 21:25,3.0,男,右手,SZ21-03
07-16 21:25,2.0,女,右手,SZ21-02
07-16 21:25,1.0,男,右手,SZ21-01
07-16 21:25,3.0,男,右手,SZ21-03
07-16 21:26,2.0,女,右手,SZ21-02
07-16 21:26,1.0,男,右手,SZ21-01
07-16 21:26,3.0,男,右手,SZ21-03
07-16 21:26,2.0,女,右手,SZ21-02
07-16 21:26,1.0,男,右手,SZ21-01
07-16 21:26,3.0,男,右手,SZ21-03
07-16 21:27,2.0,女,右手,SZ21-02
07-16 21:27,1.0,男,右手,SZ21-01
07-16 21:27,3.0,男,右手,SZ21-03
07-16 21:28,2.0,女,右手,SZ21-02
07-16 21:28,1.0,男,右手,SZ21-01
07-16 21:28,3.0,男,右手,SZ21-03
07-16 21:28,2.0,女,右手,SZ21-02
07-16 21:28,1.0,男,右手,SZ21-01
07-16 21:28,3.0,男,右手,SZ21-03
07-16 21:28,2.0,女,右手,SZ21-02
07-16 21:28,1.0,男,右手,SZ21-01
07-16 21:28,3.0,男,右手,SZ21-03
07-16 21:29,2.0,女,右手,SZ21-02
07-16 21:29,1.0,男,右手,SZ21-01
07-16 21:29,3.0,男,右手,SZ21-03
